Word,Count
world,8
sides,8
pledge,7
which,7
those,7
shall,5
power,5
nations,5
peace,4
citizens,4
country,4
cannot,4
other,4
always,4
americans,4
freedom,4
first,4
begin,3
fellow,3
generation,3
human,3
globe,3
poverty,3
today,3
never,3
because,3
control,3
final,3
deeds,2
struggle,2
tyranny,2
powerful,2
problems,2
hands,2
forms,2
passed,2
unite,2
supporting,2
loyalty,2
endeavor,2
offer,2
their,2
doubt,2
states,2
forth,2
where,2
negotiate,2
nation,2
themselves,2
weakness,2
enemies,2
science,2
committed,2
support,2
together,2
light,2
south,2
truly,2
beyond,2
finally,2
before,2
success,2
oppose,2
america,2
absolute,2
assure,2
friend,2
rights,2
finished,2
though,2
history,2
would,2
whether,2
people,2
earth,2
there,2
united,2
instead,2
every,2
around,2
century,2
little,2
alliance,2
against,2
revolution,2
explore,2
instruments,2
disease,2
burden,2
merely,2
welcome,2
powers,2
balance,2
course,2
bring,2
corners,1
certain,1
knowing,1
sovereign,1
engulf,1
allies,1
divided,1
grand,1
fought,1
cooperative,1
founded,1
split,1
struggling,1
required,1
twilight,1
places,1
neither,1
exchange,1
misery,1
abolish,1
self-destruction,1
jungle,1
ventures,1
granted,1
serve,1
inspection,1
heritage,1
mankinds,1
progress,1
patient,1
special,1
subject,1
intends,1
renew,1
change,1
rejoicing,1
trumpet,1
unwilling,1
ranks,1
assist,1
humanity,1
forge,1
heirs,1
tempt,1
holds,1
danger,1
forget,1
mortal,1
governments,1
uncertain,1
sincerity,1
house,1
remembering,1
precise,1
conscience,1
since,1
encourage,1
convert,1
present,1
sought,1
proposals,1
serious,1
faithful,1
summoned,1
alarmed,1
still,1
cultural,1
symbolizing,1
deadly,1
chains,1
steady,1
prevent,1
modern,1
under,1
burdens,1
ended,1
tribulation,1
graves,1
doing,1
three-quarters,1
sworn,1
renewal,1
tempered,1
riding,1
right,1
hardship,1
alike,1
accidental,1
defending,1
inside,1
assembly,1
formulate,1
republics,1
spread,1
friends,1
again,1
master,1
weapons,1
forbears,1
becoming,1
sacrifice,1
beachhead,1
hostile,1
surround,1
shrink,1
issue,1
national,1
alter,1
anywhere,1
preserved,1
battle,1
embattled,1
these,1
testimony,1
remember,1
peaceful,1
beliefs,1
overburdened,1
break,1
strengthen,1
invective,1
global,1
solemn,1
perhaps,1
effort,1
bitter,1
americas,1
liberty,1
administration,1
permit,1
observe,1
lifetime,1
young,1
north,1
common,1
depths,1
secure,1
hundred,1
period,1
victory,1
belief,1
subversion,1
blessing,1
racing,1
undoing,1
great,1
command,1
outpaced,1
fruitful,1
asunder,1
witness,1
nearly,1
survival,1
devotion,1
rightly,1
disciplined,1
believe,1
party,1
ancient,1
asking,1
planned,1
civility,1
expect,1
stars,1
wishes,1
planet,1
summons,1
society,1
destroy,1
celebration,1
generosity,1
proud,1
faith,1
conquer,1
comfort,1
ocean,1
beginning,1
torch,1
foolishly,1
state,1
place,1
wonders,1
itself,1
isaiah,1
eradicate,1
casting,1
enlarge,1
whatever,1
neighbors,1
terror,1
oppressed,1
commerce,1
unleashed,1
service,1
aggression,1
destruction,1
challenge,1
standards,1
judge,1
signifying,1
stays,1
strength,1
maximum,1
prescribed,1
replaced,1
employed,1
share,1
hemisphere,1
belaboring,1
become,1
villages,1
price,1
creating,1
shield,1
almighty,1
adversary,1
request,1
invoke,1
border,1
strong,1
quest,1
remain,1
efforts,1
sufficient,1
whose,1
generations,1
answered,1
groups,1
votes,1
cooperation,1
bonds,1
thousand,1
heavy,1
historic,1
strongly,1
colonial,1
failure,1
energy,1
communists,1
proof,1
origins,1
different,1
forum,1
tiger,1
sister,1
mankind,1
suspicion,1
responsibility,1
forebears,1
reward,1
spiritual,1
divide,1
deserts,1
words,1
terrors,1
revolutionary,1
